scheduler,sla_class,n_requests,p50_latency_us,p95_latency_us,p99_latency_us,max_latency_us,mean_latency_us,deadline_miss_rate,throughput_per_us
B0 Shared FIFO,best_effort,7,1025.839,1756.440,1791.710,1800.527,1215.952,0.0000,0.000721
B0 Shared FIFO,standard,24,885.248,1477.495,1513.905,1524.770,889.761,0.0000,0.002473
B0 Shared FIFO,premium,24,861.525,1294.910,1315.699,1321.640,853.244,0.8333,0.002473
B0 Shared FIFO,__all__,55,905.887,1491.703,1721.169,1800.527,915.341,0.3636,0.005668
B1 Priority + Continuous Batching,best_effort,7,2327.390,2610.951,2668.130,2682.425,1876.045,0.0000,0.000721
B1 Priority + Continuous Batching,standard,24,549.399,939.693,1138.318,1195.961,574.799,0.0000,0.002473
B1 Priority + Continuous Batching,premium,24,279.151,758.450,775.884,779.831,361.287,0.4167,0.002473
B1 Priority + Continuous Batching,__all__,55,465.737,2336.192,2553.772,2682.425,647.243,0.1818,0.005668
B2 Chunked Prefill,standard,24,350.452,990.937,1127.188,1142.664,388.678,0.0000,0.002473
B2 Chunked Prefill,premium,24,166.011,231.699,236.659,237.559,161.943,0.0000,0.002473
B2 Chunked Prefill,best_effort,7,2719.902,5092.973,5187.394,5210.999,3267.767,0.0000,0.000721
B2 Chunked Prefill,__all__,55,233.646,2958.687,4998.553,5210.999,656.169,0.0000,0.005668
QoS_CxlKvForge,standard,24,277.328,808.759,1004.188,1042.664,342.192,0.0000,0.002473
QoS_CxlKvForge,premium,24,167.991,244.365,261.798,265.746,164.514,0.0000,0.002473
QoS_CxlKvForge,best_effort,7,2327.390,4014.538,4399.767,4496.075,2587.713,0.0000,0.000721
QoS_CxlKvForge,__all__,55,242.221,2433.901,3629.309,4496.075,550.453,0.0000,0.005668
