test_name,result,note
RESET_SANITY,PASS,err=0 qf=0 dm=0 occ=0
AXIL_READ_DEFAULT_STATUS,PASS,status=0x00000000
AXIL_PROGRAM_TENANT0_CONTRACT,PASS,active=1
SINGLE_WRITE_TENANT0,PASS,status=OK
SINGLE_READ_HIT_TENANT0,PASS,status=OK hit=1
SINGLE_READ_MISS_TENANT0,PASS,status=MISS hit=0
BAD_OPCODE_ERROR,PASS,status=ERR_BAD_OPCODE
CREDIT_EXHAUSTION_OR_STALL,PASS,nobs=29 ibp=0
TWO_TENANT_PRIORITY_ORDER,PASS,drained-high-and-low
EARLIEST_DEADLINE_FIRST_BASIC,PASS,tight-deadline-drained
OUTPUT_BACKPRESSURE_HOLDS_RESPONSE,PASS,tvalid-held
COUNTER_RESET,PASS,total=0
TOTAL,pass=12,fail=0
